observations,centile,subject_ids,CortexVol,Right-Amygdala,Right-Lateral-Ventricle,WM-hypointensities
0,0.05,0,422382.69267882465,1359.432160839272,1484.4814148698051,498.09784893558333
0,0.25,0,468665.11859501863,1579.4806896507523,4095.08147151876,941.561080615819
0,0.5,0,500835.5472790117,1732.4341133966411,5909.6821818818735,1249.8077203787188
0,0.75,0,533005.9759630047,1885.3875371425297,7724.282892244978,1558.0543601416189
0,0.95,0,579288.4018791986,2105.436065954009,10334.882948893932,2001.5175918218554
1,0.05,1,420243.95239747385,1357.7748811369238,1516.951891469118,487.2555880102101
1,0.25,1,466407.36759458366,1579.2434085716222,4200.868625915364,921.442216577875
1,0.5,1,498495.0731763378,1733.1838584626469,6066.430989816154,1223.240786842365
1,0.75,1,530582.778758092,1887.124308353672,7931.993353716955,1525.039357106854
1,0.95,1,576746.1939552019,2108.5928357883695,10615.910088163193,1959.2259856745197
2,0.05,2,414609.16713694675,1332.2209294098898,1490.1823038449475,404.1435203858339
2,0.25,2,461987.31907622254,1566.573847439627,4520.878196611619,828.3642302096047
2,0.5,2,494919.3754230908,1729.470102057158,6627.483115240285,1123.2355949122793
2,0.75,2,527851.431769959,1892.3663566746893,8734.088033868951,1418.1069596149537
2,0.95,2,575229.5837092348,2126.7192747044273,11764.783926635619,1842.3276694387248
3,0.05,3,424990.391003354,1357.7743047108033,1436.074964844227,501.3984154887595
3,0.25,3,471646.34363779926,1577.4437203808782,3981.5491740829602,957.6816523539959
3,0.5,3,504076.40682480705,1730.1336265596271,5750.881591176607,1274.8393432203818
3,0.75,3,536506.4700118147,1882.8235327383763,7520.214008270264,1591.997034086768
3,0.95,3,583162.4226462601,2102.4929484084505,10065.688217508965,2048.2802709520047
4,0.05,4,418487.96846645797,1353.5149179582743,1533.4237542566407,470.7424343953063
4,0.25,4,464742.8316266367,1577.2834422403603,4297.545042952621,898.7297984963437
4,0.5,4,496894.10172809707,1732.822595809673,6218.856751049299,1196.2193250694324
4,0.75,4,529045.3718295575,1888.3617493789857,8140.168459145987,1493.708851642521
4,0.95,4,575300.2349897362,2112.130273661071,10904.289747841967,1921.6962157435582
5,0.05,5,417024.44024810777,1347.359324428186,1534.0692798490127,450.298459928537
5,0.25,5,463539.57086533355,1574.1501417422105,4383.841458529416,874.7749574619636
